brand,model,year,gearbox,average_price,average_mileage
PORSCHE,PORSCHE_911,2008,Automatique,69167.0,102433.0
PORSCHE,PORSCHE_911,2008,Manuelle,63645.0,107294.0
PORSCHE,PORSCHE_911,2009,Automatique,67500.0,104716.0
PORSCHE,PORSCHE_911,2009,Manuelle,67544.0,89290.0
PORSCHE,PORSCHE_911,2010,Automatique,73761.0,94972.0
PORSCHE,PORSCHE_911,2010,Manuelle,72746.0,114897.0
PORSCHE,PORSCHE_911,2011,Automatique,79454.0,93424.0
PORSCHE,PORSCHE_911,2011,Manuelle,69148.0,93313.0
PORSCHE,PORSCHE_911,2012,Automatique,84672.0,86251.0
PORSCHE,PORSCHE_911,2012,Manuelle,83719.0,87700.0
PORSCHE,PORSCHE_911,2013,Automatique,88384.0,81357.0
PORSCHE,PORSCHE_911,2013,Manuelle,79900.0,94895.0
PORSCHE,PORSCHE_911,2014,Automatique,87950.0,87610.0
PORSCHE,PORSCHE_911,2014,Manuelle,83445.0,57750.0
PORSCHE,PORSCHE_911,2015,Automatique,94410.0,67920.0
PORSCHE,PORSCHE_911,2015,Manuelle,88953.0,71277.0
PORSCHE,PORSCHE_911,2016,Automatique,93292.0,77747.0
PORSCHE,PORSCHE_911,2016,Manuelle,92833.0,104451.0
PORSCHE,PORSCHE_911,2017,Automatique,96447.0,67883.0
PORSCHE,PORSCHE_911,2018,Automatique,91227.0,58029.0
PORSCHE,PORSCHE_911,2019,Automatique,43290.0,79000.0
PORSCHE,PORSCHE_911,2020,Automatique,99990.0,86146.0
PORSCHE,PORSCHE_911,2024,Manuelle,79000.0,120000.0
